key,key2,original_title,year,Actual,Predicted
48,0,The Devil's Doorway,2018,1.0,1.0
194,3,Notes on an Appearance,2018,0.0,0.0
368,4,This Is Martin Bonner,2013,0.0,0.0
321,13,Tangerine,2015,0.0,1.0
406,20,California Solo,2012,0.0,0.0
161,22,Cheap Thrills,2013,0.0,1.0
258,25,The Canyons,2013,1.0,0.0
415,28,Compliance,2012,0.0,1.0
192,32,Language of a Broken Heart,2011,0.0,0.0
366,36,The Pact,2012,1.0,1.0
382,47,Smashed,2012,1.0,0.0
120,52,Old Fashioned,2014,0.0,0.0
102,53,Lamma shoftak,2012,0.0,1.0
47,56,Prince Avalanche,2013,0.0,1.0
428,58,Safety Not Guaranteed,2012,1.0,1.0
325,59,Fat Kid Rules the World,2012,1.0,1.0
111,61,Not Cool,2014,1.0,1.0
190,73,Así habló el cambista,2019,0.0,0.0
403,78,The Devil Inside,2012,0.0,0.0
108,82,You're Next,2011,0.0,0.0
434,83,The Sessions,2012,0.0,0.0
87,84,In Our Nature,2012,1.0,1.0
304,85,Sleepwalk with Me,2012,0.0,0.0
400,88,The Machine,2013,0.0,1.0
56,94,Camp X-Ray,2014,1.0,0.0
285,97,Unfriended,2014,1.0,0.0
137,99,Unfriended: Dark Web,2018,0.0,0.0
181,102,The Sleepwalker,2014,0.0,0.0
447,104,Last Ounce of Courage,2012,0.0,0.0
341,110,Operation Avalanche,2016,1.0,1.0
223,118,Persecuted,2014,0.0,1.0
361,123,Unfreedom,2014,0.0,1.0
435,137,Higher Ground,2011,0.0,0.0
186,140,Snowtown,2011,1.0,0.0
75,141,Extraterrestre,2011,1.0,1.0
385,149,Filly Brown,2012,0.0,0.0
418,155,The Babadook,2014,0.0,0.0
37,163,Captive,2015,0.0,0.0
275,173,Arctic,2018,0.0,0.0
442,175,Seoul Searching,2015,0.0,0.0
8,177,L'avenir,2016,0.0,0.0
231,184,The Spectacular Now,2013,0.0,0.0
60,189,Robot & Frank,2012,1.0,0.0
292,197,Vincent N Roxxy,2016,0.0,0.0
126,203,Phoenix Forgotten,2017,0.0,0.0
98,208,ATM,2012,1.0,1.0
158,215,Sinister,2012,1.0,0.0
480,218,Before Midnight,2013,0.0,0.0
375,222,Les chevaux de Dieu,2012,0.0,1.0
177,229,Tusk,2014,0.0,1.0
386,231,Compadres,2016,0.0,0.0
241,232,The Disappearance of Eleanor Rigby: Them,2014,0.0,0.0
202,233,Love,2015,0.0,0.0
82,234,War Room,2015,0.0,1.0
389,241,The Ultimate Life,2013,0.0,0.0
351,242,Gimme Shelter,2013,0.0,0.0
309,243,The Meddler,2015,1.0,1.0
297,245,La villa,2017,1.0,1.0
133,258,Truth or Dare,2018,0.0,1.0
227,259,Crown Vic,2019,0.0,0.0
301,260,Moscow Never Sleeps,2017,0.0,1.0
91,262,The Hollars,2016,1.0,1.0
331,264,Red State,2011,0.0,0.0
11,265,Boyhood,2014,1.0,1.0
53,267,A Tale of Love and Darkness,2015,0.0,1.0
267,268,The Music Never Stopped,2011,1.0,1.0
282,273,The Darkness,2016,0.0,1.0
107,274,13 Sins,2014,0.0,0.0
65,276,Life's a Breeze,2013,1.0,1.0
464,278,Joe,2013,0.0,0.0
167,279,The Sacrament,2013,0.0,0.0
264,283,A Haunted House 2,2014,0.0,1.0
268,288,Traffik,2018,0.0,1.0
3,290,Capharnaüm,2018,0.0,1.0
441,294,Falcon Rising,2014,1.0,0.0
248,297,Only God Forgives,2013,0.0,0.0
421,298,Happy Death Day,2017,0.0,0.0
281,301,Kid Cannabis,2014,0.0,0.0
302,309,The Strangers: Prey at Night,2018,1.0,1.0
348,317,Blair Witch,2016,1.0,0.0
140,318,Flypaper,2011,0.0,1.0
424,324,Take Shelter,2011,1.0,1.0
462,325,Before I Fall,2017,1.0,1.0
0,335,CBGB,2013,0.0,1.0
115,340,Vehicle 19,2013,0.0,1.0
336,342,The Last Exorcism Part II,2013,0.0,1.0
201,345,Paranormal Activity 4,2012,0.0,1.0
30,347,Insidious: Chapter 2,2013,0.0,1.0
414,348,A Perfect Man,2013,1.0,1.0
367,350,Oculus,2013,0.0,0.0
293,356,Atlas Shrugged: Part III,2014,1.0,1.0
305,357,"As Above, So Below",2014,0.0,1.0
146,359,The Guest,2014,0.0,1.0
330,360,Moms' Night Out,2014,0.0,0.0
372,365,Pali Road,2015,1.0,1.0
39,371,The Gift,2015,1.0,0.0
80,375,Woodshock,2017,0.0,0.0
101,378,The Perfect Match,2016,1.0,0.0
228,382,Contract to Kill,2016,0.0,0.0
453,384,The Case for Christ,2017,0.0,0.0
233,393,47 Meters Down,2017,0.0,0.0
335,397,R100,2013,0.0,1.0
283,404,"No God, No Master",2013,0.0,0.0
303,405,Booksmart,2019,0.0,0.0
40,410,Casa de mi Padre,2012,0.0,1.0
58,412,The Words,2012,1.0,0.0
255,416,Maniac,2012,0.0,1.0
478,427,The Prodigy,2019,1.0,1.0
119,429,Color Out of Space,2019,0.0,1.0
169,437,Unplanned,2019,0.0,0.0
353,438,The Peanut Butter Falcon,2019,1.0,0.0
432,443,Shame,2011,0.0,0.0
270,445,Born to Be Blue,2015,1.0,0.0
208,455,Norm of the North,2015,1.0,1.0
288,456,Freeheld,2015,0.0,1.0
104,457,Only Lovers Left Alive,2013,0.0,0.0
236,458,Anna,2013,0.0,0.0
408,460,Sal,2011,0.0,0.0
22,462,Magic Mike,2012,1.0,1.0
204,463,Knife Fight,2012,1.0,1.0
19,476,20th Century Women,2016,0.0,1.0
